fetch_date,warehouse_id,date,temp_max,temp_min,precipitation,wind_speed,weather_code
2026-05-26,columbus,2026-05-26,25.3,14.5,0.0,15.5,3
2026-05-26,columbus,2026-05-27,22.7,19.1,18.5,15.3,65
2026-05-26,columbus,2026-05-28,22.6,14.1,0.0,18.5,3
2026-05-26,columbus,2026-05-29,23.4,10.7,0.0,10.5,0
2026-05-26,columbus,2026-05-30,19.9,12.4,0.0,21.1,3
2026-05-26,columbus,2026-05-31,20.5,8.6,0.0,18.7,0
2026-05-26,columbus,2026-06-01,23.9,11.5,0.0,13.3,1
2026-05-26,columbus,2026-06-02,26.2,13.5,0.0,9.3,0
2026-06-04,columbus,2026-06-04,30.3,12.1,0.0,13.2,3
2026-06-04,columbus,2026-06-05,31.5,15.8,0.0,23.4,3
2026-06-04,columbus,2026-06-06,28.5,19.0,0.93,21.6,53
2026-06-04,columbus,2026-06-07,27.3,20.0,14.4,11.5,81
2026-06-04,columbus,2026-06-08,29.3,17.9,3.7,9.8,55
2026-06-04,columbus,2026-06-09,23.6,19.8,0.3,14.3,51
2026-06-04,columbus,2026-06-10,28.4,17.5,0.0,11.1,3
2026-06-04,columbus,2026-06-11,28.4,20.2,0.3,6.8,51
2026-06-09,columbus,2026-06-09,29.7,21.9,0.7,21.3,53
2026-06-09,columbus,2026-06-10,32.1,22.2,1.93,15.1,95
2026-06-09,columbus,2026-06-11,28.6,22.5,14.9,15.7,81
2026-06-09,columbus,2026-06-12,27.5,20.3,3.1,15.9,53
2026-06-09,columbus,2026-06-13,27.1,16.7,0.0,8.0,3
2026-06-09,columbus,2026-06-14,28.8,17.9,1.2,13.8,51
2026-06-09,columbus,2026-06-15,25.6,18.2,2.1,13.6,51
2026-06-09,columbus,2026-06-16,24.0,15.2,0.3,11.7,51
2026-06-15,columbus,2026-06-15,21.4,12.8,0.0,12.9,2
2026-06-15,columbus,2026-06-16,26.0,11.4,2.2,23.8,61
2026-06-15,columbus,2026-06-17,26.5,13.9,1.5,31.1,95
2026-06-15,columbus,2026-06-18,25.2,17.5,7.7,35.6,95
2026-06-15,columbus,2026-06-19,22.9,13.7,0.1,21.3,51
2026-06-15,columbus,2026-06-20,23.2,12.9,0.0,15.0,3
2026-06-15,columbus,2026-06-21,19.2,15.5,3.0,9.0,53
2026-06-15,columbus,2026-06-22,21.4,14.2,0.0,20.9,3
2026-06-24,columbus,2026-06-24,27.2,13.6,0.0,14.9,1
2026-06-24,columbus,2026-06-25,27.0,16.6,8.3,23.8,63
2026-06-24,columbus,2026-06-26,21.0,18.9,47.33,14.3,81
2026-06-24,columbus,2026-06-27,26.8,19.2,0.1,8.8,51
2026-06-24,columbus,2026-06-28,29.9,19.2,0.0,6.5,3
2026-06-24,columbus,2026-06-29,31.9,20.2,0.0,7.0,1
2026-06-24,columbus,2026-06-30,34.5,22.6,0.0,7.9,95
2026-06-24,columbus,2026-07-01,35.4,25.0,0.0,11.9,95
2026-06-25,columbus,2026-06-25,27.5,17.0,1.1,20.1,95
2026-06-25,columbus,2026-06-26,25.8,18.2,9.0,12.6,63
2026-06-25,columbus,2026-06-27,27.2,18.9,3.52,8.9,51
2026-06-25,columbus,2026-06-28,27.2,19.1,3.2,8.2,61
2026-06-25,columbus,2026-06-29,31.4,18.4,0.0,6.9,3
2026-06-25,columbus,2026-06-30,32.9,21.6,0.0,5.7,3
2026-06-25,columbus,2026-07-01,36.4,24.2,0.0,5.8,95
2026-06-25,columbus,2026-07-02,37.3,26.4,0.0,8.1,95
