fetch_date,warehouse_id,date,temp_max,temp_min,precipitation,wind_speed,weather_code
2026-05-26,dallas,2026-05-26,30.3,19.1,0.0,13.8,3
2026-05-26,dallas,2026-05-27,29.6,20.5,9.0,17.0,65
2026-05-26,dallas,2026-05-28,31.1,20.4,2.2,11.7,80
2026-05-26,dallas,2026-05-29,32.4,22.8,0.2,11.9,51
2026-05-26,dallas,2026-05-30,32.4,23.4,1.0,13.8,51
2026-05-26,dallas,2026-05-31,24.6,19.2,3.0,21.2,51
2026-05-26,dallas,2026-06-01,22.1,19.2,5.1,12.2,55
2026-05-26,dallas,2026-06-02,27.0,19.3,0.0,9.4,3
2026-06-04,dallas,2026-06-04,31.7,22.8,0.0,16.8,3
2026-06-04,dallas,2026-06-05,31.3,23.1,0.0,17.5,3
2026-06-04,dallas,2026-06-06,29.2,22.7,6.35,15.1,55
2026-06-04,dallas,2026-06-07,32.6,23.0,4.5,20.3,80
2026-06-04,dallas,2026-06-08,34.3,23.4,0.0,22.3,3
2026-06-04,dallas,2026-06-09,35.5,24.3,0.0,17.4,0
2026-06-04,dallas,2026-06-10,36.2,25.1,0.0,17.9,0
2026-06-04,dallas,2026-06-11,35.9,25.6,0.0,15.9,1
2026-06-09,dallas,2026-06-09,31.2,24.4,0.0,16.2,95
2026-06-09,dallas,2026-06-10,31.5,24.6,0.0,19.4,95
2026-06-09,dallas,2026-06-11,32.5,24.7,0.0,23.1,3
2026-06-09,dallas,2026-06-12,35.7,25.4,0.0,18.4,3
2026-06-09,dallas,2026-06-13,36.1,25.7,0.2,20.7,51
2026-06-09,dallas,2026-06-14,31.1,24.4,10.9,20.2,82
2026-06-09,dallas,2026-06-15,29.4,21.5,16.8,16.9,82
2026-06-09,dallas,2026-06-16,23.3,16.9,2.9,18.7,53
2026-06-15,dallas,2026-06-15,27.3,23.2,0.0,12.4,3
2026-06-15,dallas,2026-06-16,31.8,23.1,0.0,11.0,95
2026-06-15,dallas,2026-06-17,32.1,23.6,0.0,27.3,95
2026-06-15,dallas,2026-06-18,36.7,23.6,0.4,16.8,96
2026-06-15,dallas,2026-06-19,31.4,23.3,15.1,22.9,99
2026-06-15,dallas,2026-06-20,33.3,22.8,3.9,19.6,96
2026-06-15,dallas,2026-06-21,35.3,25.4,0.0,26.3,95
2026-06-15,dallas,2026-06-22,36.0,25.1,0.0,23.7,3
2026-06-24,dallas,2026-06-24,35.1,25.5,0.0,17.2,95
2026-06-24,dallas,2026-06-25,34.4,23.6,0.0,22.7,3
2026-06-24,dallas,2026-06-26,37.7,24.7,0.0,29.8,3
2026-06-24,dallas,2026-06-27,38.4,25.1,0.0,27.2,3
2026-06-24,dallas,2026-06-28,38.2,25.4,0.0,26.1,1
2026-06-24,dallas,2026-06-29,39.1,26.0,0.0,21.9,0
2026-06-24,dallas,2026-06-30,39.5,27.8,0.0,15.5,0
2026-06-24,dallas,2026-07-01,38.7,28.2,0.3,19.4,51
2026-06-25,dallas,2026-06-25,33.2,24.4,0.0,20.1,95
2026-06-25,dallas,2026-06-26,33.4,24.0,0.0,27.2,3
2026-06-25,dallas,2026-06-27,37.5,24.4,0.0,26.0,3
2026-06-25,dallas,2026-06-28,38.2,25.4,0.0,24.5,0
2026-06-25,dallas,2026-06-29,39.4,25.8,0.0,22.0,0
2026-06-25,dallas,2026-06-30,38.7,27.6,0.0,16.4,0
2026-06-25,dallas,2026-07-01,37.1,28.7,0.0,20.2,3
2026-06-25,dallas,2026-07-02,35.2,26.3,0.0,23.5,3
2026-07-01,dallas,2026-07-01,35.5,25.8,0.0,21.7,3
2026-07-01,dallas,2026-07-02,34.7,25.4,0.0,17.8,3
2026-07-01,dallas,2026-07-03,38.5,25.6,0.4,20.2,51
2026-07-01,dallas,2026-07-04,39.0,28.0,0.4,18.2,51
2026-07-01,dallas,2026-07-05,38.8,25.2,2.1,21.8,53
2026-07-01,dallas,2026-07-06,36.9,27.4,0.0,17.9,3
2026-07-01,dallas,2026-07-07,37.7,27.4,0.0,19.5,2
2026-07-01,dallas,2026-07-08,40.1,27.8,0.0,21.7,3
2026-07-03,dallas,2026-07-03,36.4,26.0,0.0,15.4,3
2026-07-03,dallas,2026-07-04,37.1,26.3,0.0,12.7,3
2026-07-03,dallas,2026-07-05,40.1,28.5,0.0,22.0,3
2026-07-03,dallas,2026-07-06,39.9,29.0,1.2,21.5,55
2026-07-03,dallas,2026-07-07,39.5,25.9,1.0,21.8,53
2026-07-03,dallas,2026-07-08,40.5,28.3,0.1,22.7,51
2026-07-03,dallas,2026-07-09,40.8,28.1,0.0,22.7,0
2026-07-03,dallas,2026-07-10,40.4,27.5,0.0,25.2,3
2026-07-06,dallas,2026-07-06,37.4,24.4,2.2,17.7,80
2026-07-06,dallas,2026-07-07,35.6,23.7,3.7,32.6,61
2026-07-06,dallas,2026-07-08,40.6,25.8,0.0,26.3,3
2026-07-06,dallas,2026-07-09,40.6,27.6,0.0,25.1,2
2026-07-06,dallas,2026-07-10,39.9,27.1,0.0,26.3,3
2026-07-06,dallas,2026-07-11,36.8,27.5,0.3,19.8,51
2026-07-06,dallas,2026-07-12,39.0,28.1,0.0,18.1,3
2026-07-06,dallas,2026-07-13,40.9,28.9,0.0,18.6,3
