fetch_date,warehouse_id,date,temp_max,temp_min,precipitation,wind_speed,weather_code
2026-05-26,tijuana,2026-05-26,18.3,14.1,1.9,15.8,55
2026-05-26,tijuana,2026-05-27,15.9,13.1,0.95,15.4,51
2026-05-26,tijuana,2026-05-28,19.5,15.0,0.9,19.7,51
2026-05-26,tijuana,2026-05-29,20.6,15.7,0.2,22.1,51
2026-05-26,tijuana,2026-05-30,21.7,16.0,0.0,16.0,1
2026-05-26,tijuana,2026-05-31,23.3,16.8,0.0,15.6,0
2026-05-26,tijuana,2026-06-01,25.2,17.3,0.0,13.1,3
2026-05-26,tijuana,2026-06-02,24.0,17.6,0.0,17.7,3
2026-06-04,tijuana,2026-06-04,23.7,13.0,0.0,14.8,45
2026-06-04,tijuana,2026-06-05,22.1,14.5,0.0,16.3,45
2026-06-04,tijuana,2026-06-06,20.5,14.7,0.0,19.4,3
2026-06-04,tijuana,2026-06-07,20.8,15.7,0.0,16.9,3
2026-06-04,tijuana,2026-06-08,21.0,15.9,0.0,16.8,1
2026-06-04,tijuana,2026-06-09,25.2,16.3,0.0,18.8,0
2026-06-04,tijuana,2026-06-10,20.7,16.9,0.0,17.7,3
2026-06-04,tijuana,2026-06-11,22.1,16.0,0.0,14.0,0
2026-06-09,tijuana,2026-06-09,23.4,13.8,0.0,13.8,3
2026-06-09,tijuana,2026-06-10,25.7,14.2,0.0,14.0,45
2026-06-09,tijuana,2026-06-11,23.7,17.3,0.0,13.6,0
2026-06-09,tijuana,2026-06-12,25.7,18.4,0.0,14.9,0
2026-06-09,tijuana,2026-06-13,27.4,19.1,0.0,15.6,0
2026-06-09,tijuana,2026-06-14,26.5,19.4,0.0,14.6,0
2026-06-09,tijuana,2026-06-15,25.7,18.6,0.0,14.4,3
2026-06-09,tijuana,2026-06-16,23.3,18.0,0.0,16.3,0
2026-06-15,tijuana,2026-06-15,22.3,17.5,0.0,17.9,3
2026-06-15,tijuana,2026-06-16,21.8,17.0,0.0,18.7,45
2026-06-15,tijuana,2026-06-17,25.5,17.0,0.0,15.8,0
2026-06-15,tijuana,2026-06-18,25.1,17.9,0.0,18.5,0
2026-06-15,tijuana,2026-06-19,22.7,17.5,0.0,18.6,1
2026-06-15,tijuana,2026-06-20,21.4,16.9,0.0,19.1,1
2026-06-15,tijuana,2026-06-21,21.4,16.5,0.0,18.6,2
2026-06-15,tijuana,2026-06-22,22.3,16.8,0.0,18.3,1
2026-06-15,tijuana,2026-06-15,22.3,17.5,0.0,17.9,3
2026-06-15,tijuana,2026-06-16,21.8,17.0,0.0,18.7,45
2026-06-15,tijuana,2026-06-17,25.5,17.0,0.0,15.8,0
2026-06-15,tijuana,2026-06-18,25.1,17.9,0.0,18.5,0
2026-06-15,tijuana,2026-06-19,22.7,17.5,0.0,18.6,1
2026-06-15,tijuana,2026-06-20,21.4,16.9,0.0,19.1,1
2026-06-15,tijuana,2026-06-21,21.4,16.5,0.0,18.6,2
2026-06-15,tijuana,2026-06-22,22.3,16.8,0.0,18.3,1
2026-06-24,tijuana,2026-06-24,23.3,16.5,0.0,15.3,3
2026-06-24,tijuana,2026-06-25,21.4,16.5,0.0,15.1,3
2026-06-24,tijuana,2026-06-26,24.2,17.2,0.0,21.0,3
2026-06-24,tijuana,2026-06-27,21.6,17.9,0.0,18.8,3
2026-06-24,tijuana,2026-06-28,20.7,17.1,0.0,18.0,3
2026-06-24,tijuana,2026-06-29,21.9,16.9,0.0,17.1,1
2026-06-24,tijuana,2026-06-30,22.7,17.1,0.0,16.6,0
2026-06-24,tijuana,2026-07-01,22.5,17.2,0.0,16.9,1
2026-06-25,tijuana,2026-06-25,21.3,15.7,0.0,13.9,3
2026-06-25,tijuana,2026-06-26,22.0,14.9,0.0,16.2,45
2026-06-25,tijuana,2026-06-27,22.1,17.7,0.0,19.2,3
2026-06-25,tijuana,2026-06-28,20.4,16.9,0.0,18.1,3
2026-06-25,tijuana,2026-06-29,21.3,17.6,0.0,17.4,3
2026-06-25,tijuana,2026-06-30,21.5,17.0,0.0,17.3,1
2026-06-25,tijuana,2026-07-01,21.1,16.5,0.0,18.3,3
